,start,m,n,avg,min,max,fsteps,bsteps
0,0.0,2000000.0,14.0,0.0,-44871.0,34349.0,1.0,16.0
1,2000000.0,6000000.0,15.0,-7.1145365636e-08,-248827.99548,179901.24524,1.0,8.0
2,8000000.0,1000000.0,13.0,-2.0943164825e-08,-6161.8840542,3513.3710287,1.0,18.0
3,9000000.0,1000000.0,15.0,-2.265108,-3500.0,2441.0,1.0,18.0
4,10000000.0,5500000.0,14.0,-6.1067424037e-08,-115950.33418,57317.991779,1.0,9.0
5,15500000.0,1500000.0,13.0,-2.3205772042e-08,-7124.3969486,4680.8059034,1.0,17.0
6,17000000.0,1000000.0,15.0,-3.64381,-3082.5,1757.0,1.0,18.0
7,18000000.0,5000000.0,14.0,3.8543605804e-08,-55670.979295,33087.88209,1.0,10.0
8,23000000.0,4000000.0,14.0,1.5603639185e-08,-35240.507268,19862.183831,1.0,12.0
9,27000000.0,1000000.0,13.0,3.5348236561e-09,-1869.0737725,991.73284825,1.0,18.0
10,28000000.0,1000000.0,16.0,-2731374121900000.0,-2731374122300000.0,-2731374121500000.0,1.0,18.0
11,29000000.0,5500000.0,14.0,-4.2867237871e-08,-44792.691083,21903.094076,1.0,9.0
12,34500000.0,2500000.0,14.0,6.2263512611e-08,-6632.3817884,5158.5350269,1.0,15.0
13,37000000.0,1500000.0,13.0,-6.2169412772e-08,-3283.5769857,1815.608058,1.0,17.0
14,38500000.0,1000000.0,14.0,-1.449748,-1520.5,994.0,1.0,18.0
15,39500000.0,3000000.0,13.0,-1.2220879396e-08,-9463.909991,5185.6708662,1.0,14.0
16,42500000.0,1000000.0,15.0,-2.482245,-779.25,924.0,1.0,18.0
17,43500000.0,9500000.0,14.0,-6.0185984561e-08,-70645.481859,49617.701496,1.0,1.0
18,53000000.0,2000000.0,13.0,4.8544228077e-08,-1992.051585,1627.1831595,1.0,16.0
19,55000000.0,3000000.0,14.0,-9.8700940609e-08,-3839.8401611,3316.8137642,1.0,14.0
20,58000000.0,1500000.0,13.0,-3.0410995086e-08,-1777.1263213,1194.6420093,1.0,17.0
21,59500000.0,1000000.0,15.0,3.2555395,-606.25,442.5,1.0,18.0
22,60500000.0,9500000.0,14.0,5.3257716329e-08,-40303.159776,25304.837827,1.0,1.0
23,70000000.0,7500000.0,14.0,-7.3444668452e-08,-20540.012533,12642.870852,1.0,5.0
24,77500000.0,1500000.0,13.0,9.8899841309e-08,-1204.7323794,998.86489464,1.0,17.0
25,79000000.0,1000000.0,15.0,-4.4652965,-866.0,642.0,1.0,18.0
26,80000000.0,4000000.0,13.0,-7.1006186306e-08,-3528.6389163,2580.9938194,1.0,12.0
27,84000000.0,1000000.0,14.0,0.00776078125,-566.1875,652.96875,1.0,18.0
28,85000000.0,6000000.0,14.0,-2.2973666588e-08,-4233.7040829,2308.3615335,1.0,8.0
29,91000000.0,2000000.0,13.0,7.5730867684e-08,-616.74630198,790.59806438,1.0,16.0
30,93000000.0,2500000.0,14.0,9.0150713921e-08,-1333.1242589,1444.5522734,1.0,15.0
31,95500000.0,3000000.0,13.0,-1.8184781075e-08,-865.31395552,839.60392851,1.0,14.0
32,98500000.0,1000000.0,13.0,9.4184458256e-08,-705.58757807,689.10394801,1.0,18.0
33,99500000.0,1000000.0,16.0,-469827151310000.0,-1578329653400000.0,673470161560000.0,1.0,18.0
34,100500000.0,7500000.0,14.0,9.8270575205e-09,-3159.8310452,3730.5756091,1.0,5.0
35,108000000.0,10000000.0,14.0,-3.1403017044e-08,-8169.8010353,17906.910981,2.0,20.0
36,118000000.0,2500000.0,13.0,-9.128844738e-09,-1578.6645033,1686.2283386,1.0,15.0
37,120500000.0,1000000.0,15.0,0.60221375,-440.0,500.65625,1.0,18.0
38,121500000.0,2500000.0,13.0,-6.2488073111e-08,-829.24177502,1455.4568724,1.0,15.0
39,124000000.0,2500000.0,14.0,2.8521895409e-08,-1172.7137338,1619.7272325,1.0,15.0
40,126500000.0,2500000.0,13.0,1.6491782665e-08,-2058.8599592,2283.5067374,1.0,15.0
41,129000000.0,3500000.0,14.0,2.7923362596e-08,-2887.002265,5359.4060324,1.0,13.0
42,132500000.0,5000000.0,14.0,8.7930214405e-08,-7363.2638486,11065.76308,1.0,10.0
43,137500000.0,2500000.0,13.0,7.7360546589e-08,-3026.9565556,3311.9247181,1.0,15.0
44,140000000.0,6000000.0,15.0,-6.0596863429e-08,-12488.687762,16608.345638,1.0,8.0
45,146000000.0,1500000.0,13.0,-2.6259144147e-08,-795.36581326,1571.5811533,1.0,17.0
46,147500000.0,3500000.0,14.0,6.0931733676e-08,-6958.9684953,10090.034472,1.0,13.0
47,151000000.0,5500000.0,14.0,-8.6771076376e-08,-19649.979429,30760.218637,1.0,9.0
48,156500000.0,6000000.0,15.0,9.6284151077e-08,-20386.169603,24414.415491,1.0,8.0
49,162500000.0,8000000.0,14.0,-2.1844506264e-09,-44988.627137,89166.701193,1.0,4.0
50,170500000.0,1000000.0,13.0,1.4653488994e-07,-1207.9732437,1583.3834756,1.0,18.0
51,171500000.0,1000000.0,16.0,-0.23167782813,-1116.40625,1540.0625,1.0,18.0
52,172500000.0,10000000.0,14.0,6.1718282104e-08,-128986.64561,216708.03502,2.0,20.0
53,182500000.0,1000000.0,15.0,2.606102,-2102.0,2041.0,1.0,18.0
54,183500000.0,3500000.0,14.0,-5.3783459323e-08,-29628.563158,42161.837917,1.0,13.0
55,187000000.0,13000000.0,15.0,-2.2592869447e-06,-1108819.1027,754854.89471,1.0,0.0
