cudacoresfactor, 2xcopytime, kerneltime0, kerneltimeN
1, 27481.840000, 1576.926000, 1600.639000
2, 37862.908000, 1560.886000, 1618.798000
3, 52158.372000, 1561.847000, 1626.382000
4, 66115.224000, 1583.513000, 1630.554000
5, 80379.724000, 1565.462000, 1620.904000
6, 94624.470000, 1526.808000, 1642.432000
7, 109203.624000, 1564.564000, 1639.154000
8, 123293.808000, 1532.458000, 1637.577000
9, 137689.462000, 1514.659000, 1617.912000
10, 151292.558000, 1533.791000, 1627.977000
11, 165669.792000, 1517.039000, 1619.951000
12, 180024.000000, 1520.897000, 1662.996000
13, 194227.296000, 1517.009000, 1642.917000
14, 208576.584000, 1521.295000, 1637.208000
15, 222656.492000, 1524.759000, 1664.474000
16, 237000.990000, 1512.919000, 1655.349000
17, 252184.884000, 1551.101000, 1630.532000
18, 265833.292000, 1519.240000, 1622.124000
19, 278058.574000, 1534.214000, 1628.276000
20, 286274.066000, 1527.351000, 1648.535000
21, 295472.476000, 1521.546000, 1616.804000
22, 304700.272000, 1535.194000, 1635.355000
23, 313260.458000, 1531.744000, 1625.994000
24, 322019.180000, 1518.089000, 1628.067000
25, 330745.620000, 1522.478000, 1628.621000
26, 339410.352000, 1808.020000, 1781.513000
27, 347693.038000, 1527.088000, 1637.464000
28, 356575.564000, 1532.801000, 1633.071000
29, 365277.790000, 1532.297000, 1635.206000
30, 374517.674000, 1523.515000, 1637.341000
31, 383218.470000, 1513.917000, 1651.455000
32, 391978.356000, 1527.356000, 1638.856000
33, 400477.142000, 1528.261000, 1643.827000
34, 410356.640000, 1531.022000, 1649.682000
35, 417708.464000, 1536.076000, 1636.371000
36, 426598.148000, 1527.790000, 1645.559000
37, 438954.746000, 1521.625000, 1621.864000
38, 447673.646000, 1533.983000, 1627.274000
39, 456517.494000, 1532.759000, 1642.446000
40, 465921.156000, 1524.709000, 1607.184000
41, 474076.164000, 1526.780000, 1617.960000
42, 482335.476000, 1525.201000, 1642.006000
43, 491116.748000, 1548.926000, 1657.990000
44, 500721.182000, 1542.705000, 1637.366000
45, 508758.202000, 1537.836000, 1677.572000
46, 517638.148000, 1520.511000, 1627.759000
47, 525722.092000, 1525.041000, 1648.801000
48, 535294.744000, 1541.959000, 1665.582000
49, 543938.806000, 1536.098000, 1640.775000
50, 552455.392000, 1533.751000, 1620.329000
51, 561679.804000, 1541.915000, 1635.205000
52, 570029.982000, 1531.717000, 1638.635000
53, 578666.822000, 1537.205000, 1649.299000
54, 587572.784000, 1541.126000, 1650.822000
55, 598651.354000, 1524.555000, 1646.713000
56, 606992.880000, 1529.446000, 1657.377000
57, 615797.714000, 1519.851000, 1649.236000
58, 625067.454000, 1521.487000, 1640.669000
59, 632880.602000, 1524.294000, 1664.382000
60, 643554.568000, 1547.262000, 1640.394000
61, 651035.982000, 1538.262000, 1654.202000
62, 659548.584000, 1521.781000, 1649.743000
63, 667817.100000, 1518.178000, 1643.138000
64, 677180.620000, 1541.687000, 1662.701000
65, 685636.120000, 1521.878000, 1653.853000
66, 694495.420000, 1531.721000, 1650.766000
67, 703324.010000, 1543.985000, 1658.521000
68, 711973.660000, 1550.379000, 1652.397000
69, 720351.942000, 1535.548000, 1658.992000
70, 729732.866000, 1552.207000, 1653.500000
71, 738167.474000, 1543.099000, 1657.067000
72, 746944.124000, 1542.328000, 1660.638000
73, 755700.110000, 1540.843000, 1642.366000
74, 767714.244000, 1531.991000, 1655.718000
75, 777499.716000, 1551.108000, 1653.955000
76, 785077.550000, 1533.632000, 1646.993000
77, 793643.882000, 1534.405000, 1655.594000
78, 802536.210000, 1537.408000, 1662.046000
79, 811443.052000, 1543.082000, 1659.512000
80, 820095.932000, 1524.350000, 1655.466000
81, 828891.680000, 1544.273000, 1654.139000
82, 837878.128000, 1537.369000, 1658.564000
83, 846485.958000, 1522.307000, 1646.646000
84, 854940.044000, 1532.651000, 1663.136000
85, 864841.510000, 1547.541000, 1662.359000
86, 872731.878000, 1546.297000, 1658.867000
